"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"188",2012 Q3,"New Commitment","SEX OFFENSE",1971.2
"189",2012 Q3,"New Commitment","WEAPONS",56.88
"190",2012 Q3,"Technical Commitment","ALCOHOL & DRUG",65.6
"191",2012 Q3,"Technical Commitment","DRIVING",47.85
"192",2012 Q3,"Technical Commitment","DRUG POSSESSION ONLY",38.9
"193",2012 Q3,"Technical Commitment","MURDER",43.02
"194",2012 Q3,"Technical Commitment","OTHER",11.32
"195",2012 Q3,"Technical Commitment","PERSON",115.57
"196",2012 Q3,"Technical Commitment","PROPERTY",153.62
"197",2012 Q3,"Technical Commitment","SEX OFFENSE",183.2
"198",2012 Q3,"Technical Commitment","WEAPONS",18.92
"199",2012 Q4,"New Commitment","ALCOHOL & DRUG",513.12
"200",2012 Q4,"New Commitment","DRIVING",242.34
"201",2012 Q4,"New Commitment","DRUG POSSESSION ONLY",286.54
"202",2012 Q4,"New Commitment","MURDER",661.05
"203",2012 Q4,"New Commitment","OTHER",83.07
"204",2012 Q4,"New Commitment","PERSON",1145.11
"205",2012 Q4,"New Commitment","PROPERTY",1291.03
"206",2012 Q4,"New Commitment","SEX OFFENSE",1978.76
"207",2012 Q4,"New Commitment","WEAPONS",60.17
"208",2012 Q4,"Technical Commitment","ALCOHOL & DRUG",63.7
"209",2012 Q4,"Technical Commitment","DRIVING",49.47
"210",2012 Q4,"Technical Commitment","DRUG POSSESSION ONLY",34.33
"211",2012 Q4,"Technical Commitment","MURDER",46.62
"212",2012 Q4,"Technical Commitment","OTHER",11.46
"213",2012 Q4,"Technical Commitment","PERSON",123.71
"214",2012 Q4,"Technical Commitment","PROPERTY",150.19
"215",2012 Q4,"Technical Commitment","SEX OFFENSE",200.82
"216",2012 Q4,"Technical Commitment","WEAPONS",16.84
"217",2013 Q1,"New Commitment","ALCOHOL & DRUG",523.55
"218",2013 Q1,"New Commitment","DRIVING",239.21
"219",2013 Q1,"New Commitment","DRUG POSSESSION ONLY",297.72
"220",2013 Q1,"New Commitment","MURDER",659.58
"221",2013 Q1,"New Commitment","OTHER",90.06
"222",2013 Q1,"New Commitment","PERSON",1144.8
