"","Quarter_Year","gender","top_ofnse_typ_desc","Count"
"195",2012 Q3,"M","SEX OFFENSE",2115.06
"196",2012 Q3,"M","WEAPONS",74.8
"197",2012 Q4,"F","ALCOHOL & DRUG",97.98
"198",2012 Q4,"F","DRIVING",30.6
"199",2012 Q4,"F","DRUG POSSESSION ONLY",83.25
"200",2012 Q4,"F","MURDER",42.73
"201",2012 Q4,"F","OTHER",11.59
"202",2012 Q4,"F","PERSON",110.86
"203",2012 Q4,"F","PROPERTY",219.78
"204",2012 Q4,"F","SEX OFFENSE",40.43
"205",2012 Q4,"F","WEAPONS",1.58
"206",2012 Q4,"M","ALCOHOL & DRUG",478.84
"207",2012 Q4,"M","DRIVING",261.21
"208",2012 Q4,"M","DRUG POSSESSION ONLY",237.62
"209",2012 Q4,"M","MURDER",664.94
"210",2012 Q4,"M","OTHER",82.94
"211",2012 Q4,"M","PERSON",1157.96
"212",2012 Q4,"M","PROPERTY",1221.44
"213",2012 Q4,"M","SEX OFFENSE",2139.15
"214",2012 Q4,"M","WEAPONS",75.43
"215",2013 Q1,"F","ALCOHOL & DRUG",100.15
"216",2013 Q1,"F","DRIVING",28.29
"217",2013 Q1,"F","DRUG POSSESSION ONLY",88.62
"218",2013 Q1,"F","MURDER",41.01
"219",2013 Q1,"F","OTHER",8.59
"220",2013 Q1,"F","PERSON",113.35
"221",2013 Q1,"F","PROPERTY",228.73
"222",2013 Q1,"F","SEX OFFENSE",41.31
"223",2013 Q1,"F","WEAPONS",2
"224",2013 Q1,"M","ALCOHOL & DRUG",476.69
"225",2013 Q1,"M","DRIVING",247.12
"226",2013 Q1,"M","DRUG POSSESSION ONLY",240.24
"227",2013 Q1,"M","MURDER",665.59
"228",2013 Q1,"M","OTHER",94.57
"229",2013 Q1,"M","PERSON",1161.7
"230",2013 Q1,"M","PROPERTY",1201.76
"231",2013 Q1,"M","SEX OFFENSE",2143.83
"232",2013 Q1,"M","WEAPONS",71.24
"233",2013 Q2,"F","ALCOHOL & DRUG",115.84
"234",2013 Q2,"F","DRIVING",29.2
"235",2013 Q2,"F","DRUG POSSESSION ONLY",87.86
"236",2013 Q2,"F","MURDER",42
"237",2013 Q2,"F","OTHER",10.34
"238",2013 Q2,"F","PERSON",120.69
"239",2013 Q2,"F","PROPERTY",236.26
"240",2013 Q2,"F","SEX OFFENSE",41.11
"241",2013 Q2,"F","WEAPONS",2.67
"242",2013 Q2,"M","ALCOHOL & DRUG",472.75
"243",2013 Q2,"M","DRIVING",246.17
"244",2013 Q2,"M","DRUG POSSESSION ONLY",251.31
"245",2013 Q2,"M","MURDER",665.35
"246",2013 Q2,"M","OTHER",103.45
"247",2013 Q2,"M","PERSON",1176.48
"248",2013 Q2,"M","PROPERTY",1227.51
"249",2013 Q2,"M","SEX OFFENSE",2152.26
"250",2013 Q2,"M","WEAPONS",76.78
"251",2013 Q3,"F","ALCOHOL & DRUG",115.12
"252",2013 Q3,"F","DRIVING",28.46
"253",2013 Q3,"F","DRUG POSSESSION ONLY",88.71
"254",2013 Q3,"F","MURDER",41.78
"255",2013 Q3,"F","OTHER",8.97
"256",2013 Q3,"F","PERSON",120.27
"257",2013 Q3,"F","PROPERTY",224.59
"258",2013 Q3,"F","SEX OFFENSE",42.67
"259",2013 Q3,"F","WEAPONS",2
"260",2013 Q3,"M","ALCOHOL & DRUG",479.66
"261",2013 Q3,"M","DRIVING",254.36
"262",2013 Q3,"M","DRUG POSSESSION ONLY",265.71
"263",2013 Q3,"M","MURDER",669.46
"264",2013 Q3,"M","OTHER",100.72
"265",2013 Q3,"M","PERSON",1186.67
"266",2013 Q3,"M","PROPERTY",1257.9
"267",2013 Q3,"M","SEX OFFENSE",2164.74
"268",2013 Q3,"M","WEAPONS",82.08
"269",2013 Q4,"F","ALCOHOL & DRUG",109.21
"270",2013 Q4,"F","DRIVING",27.12
"271",2013 Q4,"F","DRUG POSSESSION ONLY",90.91
"272",2013 Q4,"F","MURDER",42.36
"273",2013 Q4,"F","OTHER",9.7
"274",2013 Q4,"F","PERSON",121.74
"275",2013 Q4,"F","PROPERTY",229.75
"276",2013 Q4,"F","SEX OFFENSE",46.54
"277",2013 Q4,"F","WEAPONS",3.09
"278",2013 Q4,"M","ALCOHOL & DRUG",486.09
"279",2013 Q4,"M","DRIVING",244.12
"280",2013 Q4,"M","DRUG POSSESSION ONLY",282.36
"281",2013 Q4,"M","MURDER",666.53
"282",2013 Q4,"M","OTHER",89.09
"283",2013 Q4,"M","PERSON",1187.9
"284",2013 Q4,"M","PROPERTY",1252.62
"285",2013 Q4,"M","SEX OFFENSE",2174.9
"286",2013 Q4,"M","WEAPONS",80.51
"287",2014 Q1,"F","ALCOHOL & DRUG",108.57
"288",2014 Q1,"F","DRIVING",23.58
"289",2014 Q1,"F","DRUG POSSESSION ONLY",85.69
"290",2014 Q1,"F","MURDER",43.77
"291",2014 Q1,"F","OTHER",13.07
"292",2014 Q1,"F","PERSON",115.96
"293",2014 Q1,"F","PROPERTY",207.17
"294",2014 Q1,"F","SEX OFFENSE",47.87
"295",2014 Q1,"F","WEAPONS",4.62
"296",2014 Q1,"M","ALCOHOL & DRUG",475.87
"297",2014 Q1,"M","DRIVING",226.19
"298",2014 Q1,"M","DRUG POSSESSION ONLY",276.28
"299",2014 Q1,"M","MURDER",671
"300",2014 Q1,"M","OTHER",83.43
"301",2014 Q1,"M","PERSON",1186.75
"302",2014 Q1,"M","PROPERTY",1213.5
"303",2014 Q1,"M","SEX OFFENSE",2173.98
"304",2014 Q1,"M","WEAPONS",80.67
"305",2014 Q2,"F","ALCOHOL & DRUG",110.12
"306",2014 Q2,"F","DRIVING",23.63
"307",2014 Q2,"F","DRUG POSSESSION ONLY",74.5
"308",2014 Q2,"F","MURDER",45.09
"309",2014 Q2,"F","OTHER",15.44
"310",2014 Q2,"F","PERSON",112.93
"311",2014 Q2,"F","PROPERTY",204.36
"312",2014 Q2,"F","SEX OFFENSE",49.64
"313",2014 Q2,"F","WEAPONS",3.63
"314",2014 Q2,"M","ALCOHOL & DRUG",465.72
"315",2014 Q2,"M","DRIVING",232.18
"316",2014 Q2,"M","DRUG POSSESSION ONLY",277.84
"317",2014 Q2,"M","MURDER",680.65
"318",2014 Q2,"M","OTHER",84.64
"319",2014 Q2,"M","PERSON",1174.04
"320",2014 Q2,"M","PROPERTY",1208.92
"321",2014 Q2,"M","SEX OFFENSE",2178.97
"322",2014 Q2,"M","WEAPONS",89.34
"323",2014 Q3,"F","ALCOHOL & DRUG",98.66
"324",2014 Q3,"F","DRIVING",26.72
"325",2014 Q3,"F","DRUG POSSESSION ONLY",73.98
"326",2014 Q3,"F","MURDER",47.08
"327",2014 Q3,"F","OTHER",18.38
"328",2014 Q3,"F","PERSON",111.04
"329",2014 Q3,"F","PROPERTY",201.85
"330",2014 Q3,"F","SEX OFFENSE",53.93
"331",2014 Q3,"F","WEAPONS",3.22
"332",2014 Q3,"M","ALCOHOL & DRUG",469.81
"333",2014 Q3,"M","DRIVING",232.83
"334",2014 Q3,"M","DRUG POSSESSION ONLY",266.28
"335",2014 Q3,"M","MURDER",676.67
"336",2014 Q3,"M","OTHER",86.42
"337",2014 Q3,"M","PERSON",1163.4
"338",2014 Q3,"M","PROPERTY",1220.75
"339",2014 Q3,"M","SEX OFFENSE",2174.06
"340",2014 Q3,"M","WEAPONS",82.5
"341",2014 Q4,"F","ALCOHOL & DRUG",105.16
"342",2014 Q4,"F","DRIVING",31.77
"343",2014 Q4,"F","DRUG POSSESSION ONLY",66.28
"344",2014 Q4,"F","MURDER",48.87
"345",2014 Q4,"F","OTHER",19.67
"346",2014 Q4,"F","PERSON",113.17
"347",2014 Q4,"F","PROPERTY",203.68
"348",2014 Q4,"F","SEX OFFENSE",53.32
"349",2014 Q4,"F","WEAPONS",6.71
"350",2014 Q4,"M","ALCOHOL & DRUG",473.92
"351",2014 Q4,"M","DRIVING",240.64
"352",2014 Q4,"M","DRUG POSSESSION ONLY",262.09
"353",2014 Q4,"M","MURDER",684.17
"354",2014 Q4,"M","OTHER",92.47
"355",2014 Q4,"M","PERSON",1157.64
"356",2014 Q4,"M","PROPERTY",1197.61
"357",2014 Q4,"M","SEX OFFENSE",2171.95
"358",2014 Q4,"M","WEAPONS",81.11
"359",2015 Q1,"F","ALCOHOL & DRUG",97.61
"360",2015 Q1,"F","DRIVING",27.72
"361",2015 Q1,"F","DRUG POSSESSION ONLY",59.91
"362",2015 Q1,"F","MURDER",49.98
"363",2015 Q1,"F","OTHER",19.14
"364",2015 Q1,"F","PERSON",108.54
"365",2015 Q1,"F","PROPERTY",208
"366",2015 Q1,"F","SEX OFFENSE",49.31
"367",2015 Q1,"F","WEAPONS",6.61
"368",2015 Q1,"M","ALCOHOL & DRUG",467.38
"369",2015 Q1,"M","DRIVING",220.05
"370",2015 Q1,"M","DRUG POSSESSION ONLY",241.46
"371",2015 Q1,"M","MURDER",685.4
"372",2015 Q1,"M","OTHER",98.05
"373",2015 Q1,"M","PERSON",1135.46
"374",2015 Q1,"M","PROPERTY",1154.38
"375",2015 Q1,"M","SEX OFFENSE",2165.28
"376",2015 Q1,"M","WEAPONS",71.38
"377",2015 Q2,"F","ALCOHOL & DRUG",90.48
"378",2015 Q2,"F","DRIVING",20.5
"379",2015 Q2,"F","DRUG POSSESSION ONLY",56.81
"380",2015 Q2,"F","MURDER",51.37
"381",2015 Q2,"F","OTHER",17.95
"382",2015 Q2,"F","PERSON",99.29
"383",2015 Q2,"F","PROPERTY",190.67
"384",2015 Q2,"F","SEX OFFENSE",49.48
"385",2015 Q2,"F","WEAPONS",5.52
"386",2015 Q2,"M","ALCOHOL & DRUG",472.16
"387",2015 Q2,"M","DRIVING",204.67
"388",2015 Q2,"M","DRUG POSSESSION ONLY",223.8
"389",2015 Q2,"M","MURDER",694.66
"390",2015 Q2,"M","OTHER",100.51
"391",2015 Q2,"M","PERSON",1133.28
"392",2015 Q2,"M","PROPERTY",1138.17
"393",2015 Q2,"M","SEX OFFENSE",2161.96
"394",2015 Q2,"M","WEAPONS",67.47
"395",2015 Q3,"F","ALCOHOL & DRUG",86.05
"396",2015 Q3,"F","DRIVING",17.72
"397",2015 Q3,"F","DRUG POSSESSION ONLY",54.55
"398",2015 Q3,"F","MURDER",54.16
"399",2015 Q3,"F","OTHER",19.14
"400",2015 Q3,"F","PERSON",97.27
"401",2015 Q3,"F","PROPERTY",183.8
"402",2015 Q3,"F","SEX OFFENSE",48.66
"403",2015 Q3,"F","WEAPONS",3.08
"404",2015 Q3,"M","ALCOHOL & DRUG",472.54
"405",2015 Q3,"M","DRIVING",192.24
"406",2015 Q3,"M","DRUG POSSESSION ONLY",218.82
"407",2015 Q3,"M","MURDER",701.46
"408",2015 Q3,"M","OTHER",97.97
"409",2015 Q3,"M","PERSON",1146.64
"410",2015 Q3,"M","PROPERTY",1106.33
"411",2015 Q3,"M","SEX OFFENSE",2150.25
"412",2015 Q3,"M","WEAPONS",69.86
"413",2015 Q4,"F","ALCOHOL & DRUG",79.89
"414",2015 Q4,"F","DRIVING",15.93
"415",2015 Q4,"F","DRUG POSSESSION ONLY",50.26
"416",2015 Q4,"F","MURDER",53.04
"417",2015 Q4,"F","OTHER",16.84
"418",2015 Q4,"F","PERSON",95.68
"419",2015 Q4,"F","PROPERTY",169.61
"420",2015 Q4,"F","SEX OFFENSE",47.99
"421",2015 Q4,"F","WEAPONS",3
"422",2015 Q4,"M","ALCOHOL & DRUG",446.66
"423",2015 Q4,"M","DRIVING",182.92
"424",2015 Q4,"M","DRUG POSSESSION ONLY",206.05
"425",2015 Q4,"M","MURDER",703.01
"426",2015 Q4,"M","OTHER",87.63
"427",2015 Q4,"M","PERSON",1136.2
"428",2015 Q4,"M","PROPERTY",1079.9
"429",2015 Q4,"M","SEX OFFENSE",2134.81
"430",2015 Q4,"M","WEAPONS",73.08
"431",2016 Q1,"F","ALCOHOL & DRUG",77.31
"432",2016 Q1,"F","DRIVING",11.99
"433",2016 Q1,"F","DRUG POSSESSION ONLY",47.3
"434",2016 Q1,"F","MURDER",53.26
"435",2016 Q1,"F","OTHER",14.9
"436",2016 Q1,"F","PERSON",86.7
"437",2016 Q1,"F","PROPERTY",155.19
"438",2016 Q1,"F","SEX OFFENSE",47.44
"439",2016 Q1,"F","WEAPONS",2.77
"440",2016 Q1,"M","ALCOHOL & DRUG",430.14
"441",2016 Q1,"M","DRIVING",169.07
"442",2016 Q1,"M","DRUG POSSESSION ONLY",169.5
"443",2016 Q1,"M","MURDER",708.34
"444",2016 Q1,"M","OTHER",81.32
"445",2016 Q1,"M","PERSON",1136.54
"446",2016 Q1,"M","PROPERTY",1029.16
"447",2016 Q1,"M","SEX OFFENSE",2130.19
"448",2016 Q1,"M","WEAPONS",74.73
"449",2016 Q2,"F","ALCOHOL & DRUG",74.44
"450",2016 Q2,"F","DRIVING",9.08
"451",2016 Q2,"F","DRUG POSSESSION ONLY",38.09
"452",2016 Q2,"F","MURDER",51.36
"453",2016 Q2,"F","OTHER",14.21
"454",2016 Q2,"F","PERSON",92.59
"455",2016 Q2,"F","PROPERTY",146.72
"456",2016 Q2,"F","SEX OFFENSE",46.11
"457",2016 Q2,"F","WEAPONS",1
"458",2016 Q2,"M","ALCOHOL & DRUG",417.7
"459",2016 Q2,"M","DRIVING",164.36
"460",2016 Q2,"M","DRUG POSSESSION ONLY",150.6
"461",2016 Q2,"M","MURDER",699.64
"462",2016 Q2,"M","OTHER",75.63
"463",2016 Q2,"M","PERSON",1137.8
"464",2016 Q2,"M","PROPERTY",988.39
"465",2016 Q2,"M","SEX OFFENSE",2144.32
"466",2016 Q2,"M","WEAPONS",84.4
"467",2016 Q3,"F","ALCOHOL & DRUG",68.07
"468",2016 Q3,"F","DRIVING",11.37
"469",2016 Q3,"F","DRUG POSSESSION ONLY",31.44
"470",2016 Q3,"F","MURDER",52.65
"471",2016 Q3,"F","OTHER",12.9
"472",2016 Q3,"F","PERSON",92.88
"473",2016 Q3,"F","PROPERTY",120.25
"474",2016 Q3,"F","SEX OFFENSE",45.42
"475",2016 Q3,"F","WEAPONS",2
"476",2016 Q3,"M","ALCOHOL & DRUG",399.87
"477",2016 Q3,"M","DRIVING",166.8
"478",2016 Q3,"M","DRUG POSSESSION ONLY",138.91
"479",2016 Q3,"M","MURDER",699.6
"480",2016 Q3,"M","OTHER",72.17
"481",2016 Q3,"M","PERSON",1157.96
"482",2016 Q3,"M","PROPERTY",954.58
"483",2016 Q3,"M","SEX OFFENSE",2145.61
"484",2016 Q3,"M","WEAPONS",81.28
"485",2016 Q4,"F","ALCOHOL & DRUG",66.3
"486",2016 Q4,"F","DRIVING",10.7
"487",2016 Q4,"F","DRUG POSSESSION ONLY",30.03
"488",2016 Q4,"F","MURDER",53.54
"489",2016 Q4,"F","OTHER",13.05
"490",2016 Q4,"F","PERSON",91.56
"491",2016 Q4,"F","PROPERTY",109.76
"492",2016 Q4,"F","SEX OFFENSE",46.39
"493",2016 Q4,"F","WEAPONS",1.71
"494",2016 Q4,"M","ALCOHOL & DRUG",399.49
"495",2016 Q4,"M","DRIVING",169.66
"496",2016 Q4,"M","DRUG POSSESSION ONLY",121.63
"497",2016 Q4,"M","MURDER",707.8
"498",2016 Q4,"M","OTHER",76.3
"499",2016 Q4,"M","PERSON",1195.33
"500",2016 Q4,"M","PROPERTY",897.56
"501",2016 Q4,"M","SEX OFFENSE",2156.9
"502",2016 Q4,"M","WEAPONS",89.55
"503",2017 Q1,"F","ALCOHOL & DRUG",63.5
"504",2017 Q1,"F","DRIVING",9.27
"505",2017 Q1,"F","DRUG POSSESSION ONLY",33.73
"506",2017 Q1,"F","MURDER",55.19
"507",2017 Q1,"F","OTHER",9.69
"508",2017 Q1,"F","PERSON",89.07
"509",2017 Q1,"F","PROPERTY",106.17
"510",2017 Q1,"F","SEX OFFENSE",47.63
"511",2017 Q1,"F","WEAPONS",3.76
"512",2017 Q1,"M","ALCOHOL & DRUG",385.29
"513",2017 Q1,"M","DRIVING",178.22
"514",2017 Q1,"M","DRUG POSSESSION ONLY",96.03
"515",2017 Q1,"M","MURDER",715.53
"516",2017 Q1,"M","OTHER",71.93
"517",2017 Q1,"M","PERSON",1199.71
"518",2017 Q1,"M","PROPERTY",880.1
"519",2017 Q1,"M","SEX OFFENSE",2175.24
"520",2017 Q1,"M","WEAPONS",87.54
"521",2017 Q2,"F","ALCOHOL & DRUG",69.9
"522",2017 Q2,"F","DRIVING",12.03
"523",2017 Q2,"F","DRUG POSSESSION ONLY",35.29
"524",2017 Q2,"F","MURDER",58.08
"525",2017 Q2,"F","OTHER",13.04
"526",2017 Q2,"F","PERSON",88.24
"527",2017 Q2,"F","PROPERTY",118.82
"528",2017 Q2,"F","SEX OFFENSE",48.15
"529",2017 Q2,"F","WEAPONS",3.69
"530",2017 Q2,"M","ALCOHOL & DRUG",408.41
"531",2017 Q2,"M","DRIVING",179.16
"532",2017 Q2,"M","DRUG POSSESSION ONLY",93.11
"533",2017 Q2,"M","MURDER",730.84
"534",2017 Q2,"M","OTHER",74.66
"535",2017 Q2,"M","PERSON",1217.3
"536",2017 Q2,"M","PROPERTY",882.1
"537",2017 Q2,"M","SEX OFFENSE",2190.71
"538",2017 Q2,"M","WEAPONS",93.8
"539",2017 Q3,"F","ALCOHOL & DRUG",76.21
"540",2017 Q3,"F","DRIVING",12.39
"541",2017 Q3,"F","DRUG POSSESSION ONLY",30.17
"542",2017 Q3,"F","MURDER",58.04
"543",2017 Q3,"F","OTHER",18.72
"544",2017 Q3,"F","PERSON",93.05
"545",2017 Q3,"F","PROPERTY",133.14
"546",2017 Q3,"F","SEX OFFENSE",46.92
"547",2017 Q3,"F","WEAPONS",2.12
"548",2017 Q3,"M","ALCOHOL & DRUG",407.3
"549",2017 Q3,"M","DRIVING",157.32
"550",2017 Q3,"M","DRUG POSSESSION ONLY",90.28
"551",2017 Q3,"M","MURDER",729.16
